policy,cell_code,combo_key,feature,feature_label,n_cycles,cycle_start,cycle_end,value_start,value_end,delta_abs,delta_pct,spearman_rho,spearman_pvalue,slope_per_cycle,slope_per_100_cycles,linear_r2
2C_10PER_6C,460605,2C_10PER_6C|460605,main_peak_height_dqdv,peak_height,170,1.0,170.0,3.485,2.196,-1.2889999999999997,-36.987087517934,-0.9858921506647372,2.3862712258263356e-132,-0.00727625503019642,-0.727625503019642,0.9616942792692775
2C_10PER_6C,460605,2C_10PER_6C|460605,main_peak_prominence,peak_prominence,170,1.0,170.0,3.485,2.196,-1.2889999999999997,-36.987087517934,-0.9858921506647372,2.3862712258263356e-132,-0.00727625503019642,-0.727625503019642,0.9616942792692775
2C_10PER_6C,460605,2C_10PER_6C|460605,main_peak_skewness,peak_skewness,170,1.0,170.0,-0.304,-0.127,0.177,58.223684210526315,0.9513521277449076,8.158080835408698e-88,0.0010217719725697802,0.10217719725697802,0.4046363855007491
2C_10PER_6C,460605,2C_10PER_6C|460605,main_peak_temp_avg_c,peak_temp_avg,170,1.0,170.0,32.19,32.96,0.7700000000000031,2.3920472196334366,0.3045303684722621,5.399620782124163e-05,0.003735834539359301,0.3735834539359301,0.09137399986700612
2C_10PER_6C,460605,2C_10PER_6C|460605,main_peak_temp_max_c,peak_temp_max,170,1.0,170.0,35.29,36.98,1.6899999999999977,4.7888920374043575,0.39858347595584054,7.31237452583707e-08,0.006464567265710505,0.6464567265710505,0.16502810649791544
2C_10PER_6C,460605,2C_10PER_6C|460605,main_peak_temp_min_c,peak_temp_min,170,1.0,170.0,30.15,29.46,-0.6899999999999977,-2.288557213930341,0.23677086579462425,0.0018793619281973811,0.0034820866995195934,0.3482086699519593,0.05452994204478556
2C_10PER_6C,460605,2C_10PER_6C|460605,main_peak_voltage_v,peak_voltage,170,1.0,170.0,3.095,3.007,-0.08800000000000008,-2.843295638126012,-0.9667947865290809,1.820597058819216e-101,-0.00045579716782383114,-0.045579716782383116,0.9064858529730615
2C_10PER_6C,460605,2C_10PER_6C|460605,main_peak_width_v,peak_width,170,1.0,170.0,0.336,0.361,0.024999999999999967,7.440476190476181,0.891364751290108,1.2840857890926528e-59,0.0001435714242096724,0.01435714242096724,0.7363794612796051
2C_2PER_5C,460602,2C_2PER_5C|460602,main_peak_area,peak_area,464,1.0,464.0,1.191,0.655,-0.536,-45.00419815281276,-0.9979212378362432,0.0,-0.0010702353466895088,-0.10702353466895088,0.9520435641493862
2C_2PER_5C,460602,2C_2PER_5C|460602,main_peak_height_dqdv,peak_height,464,1.0,464.0,3.723,2.04,-1.6829999999999998,-45.20547945205479,-0.9943219124938166,0.0,-0.0035106107217762975,-0.3510610721776298,0.9639232812887103
2C_2PER_5C,460602,2C_2PER_5C|460602,main_peak_prominence,peak_prominence,464,1.0,464.0,3.723,2.04,-1.6829999999999998,-45.20547945205479,-0.9943219124938166,0.0,-0.0035106107217762975,-0.3510610721776298,0.9639232812887103
2C_2PER_5C,460602,2C_2PER_5C|460602,main_peak_skewness,peak_skewness,464,1.0,464.0,-0.334,-0.206,0.12800000000000003,38.323353293413184,0.9499346999220607,1.5108836332198408e-235,0.00024765145818367936,0.024765145818367935,0.8995948432286767
2C_2PER_5C,460602,2C_2PER_5C|460602,main_peak_temp_avg_c,peak_temp_avg,464,1.0,464.0,33.33,33.14,-0.18999999999999773,-0.5700570057005633,-0.19401702182083527,2.576031196504576e-05,-0.0006221473583560231,-0.06221473583560231,0.03423193513176015
2C_2PER_5C,460602,2C_2PER_5C|460602,main_peak_temp_max_c,peak_temp_max,464,1.0,464.0,35.77,36.63,0.8599999999999994,2.4042493709812676,0.1523938101253388,0.0009910233535647356,0.0006494677311242838,0.06494677311242837,0.024711278379953017
2C_2PER_5C,460602,2C_2PER_5C|460602,main_peak_temp_min_c,peak_temp_min,464,1.0,464.0,30.32,29.96,-0.35999999999999943,-1.187335092348283,-0.10681181947164807,0.021381594461379442,-0.00044777975047871865,-0.044777975047871864,0.013097593738199409
2C_2PER_5C,460602,2C_2PER_5C|460602,main_peak_voltage_v,peak_voltage,464,1.0,464.0,3.12,3.048,-0.07200000000000006,-2.3076923076923097,-0.970527309588606,1.1663694336311766e-287,-0.0001651819155913589,-0.01651819155913589,0.9287564295391005
2C_2PER_5C,460602,2C_2PER_5C|460602,main_peak_width_v,peak_width,464,1.0,464.0,0.33,0.327,-0.0030000000000000027,-0.90909090909091,0.3456424979496213,1.8203551422586478e-14,1.0478285207705655e-05,0.0010478285207705656,0.15832974859094406
2C_7PER_5_5C,460673,2C_7PER_5_5C|460673,main_peak_area,peak_area,361,1.0,361.0,1.162,0.648,-0.5139999999999999,-44.234079173838204,-0.9927016171457991,0.0,-0.0014092810537538962,-0.1409281053753896,0.9837656767884831
2C_7PER_5_5C,460673,2C_7PER_5_5C|460673,main_peak_height_dqdv,peak_height,361,1.0,361.0,3.601,1.987,-1.6139999999999999,-44.8208830880311,-0.9903230484193011,5.31060596445334e-310,-0.004446119588007533,-0.4446119588007533,0.9679104101635967
2C_7PER_5_5C,460673,2C_7PER_5_5C|460673,main_peak_prominence,peak_prominence,361,1.0,361.0,3.601,1.987,-1.6139999999999999,-44.8208830880311,-0.9903230484193011,5.31060596445334e-310,-0.004446119588007533,-0.4446119588007533,0.9679104101635967
2C_7PER_5_5C,460673,2C_7PER_5_5C|460673,main_peak_skewness,peak_skewness,361,1.0,361.0,-0.317,-0.159,0.158,49.8422712933754,0.9858218009787464,2.1208898873566452e-280,0.00043155216479698875,0.043155216479698874,0.9654408938162513
2C_7PER_5_5C,460673,2C_7PER_5_5C|460673,main_peak_temp_avg_c,peak_temp_avg,361,1.0,361.0,33.21,32.88,-0.3299999999999983,-0.9936766034326958,0.12959492537069117,0.01373333148543674,0.00042174642771510175,0.042174642771510173,0.02290597139166295
2C_7PER_5_5C,460673,2C_7PER_5_5C|460673,main_peak_temp_max_c,peak_temp_max,361,1.0,361.0,36.66,36.32,-0.3399999999999963,-0.9274413529732579,0.10393282642304555,0.04847028368622875,0.0004891364788826085,0.04891364788826085,0.013916557471485236
2C_7PER_5_5C,460673,2C_7PER_5_5C|460673,main_peak_temp_min_c,peak_temp_min,361,1.0,361.0,30.53,30.13,-0.40000000000000213,-1.3101867016049855,0.19338527545166076,0.0002185659141753112,0.00072770542232284,0.072770542232284,0.03658367185660183
2C_7PER_5_5C,460673,2C_7PER_5_5C|460673,main_peak_voltage_v,peak_voltage,361,1.0,361.0,3.116,3.04,-0.07600000000000007,-2.4390243902439046,-0.9793935669889985,1.6753680119748757e-251,-0.00021321299031236375,-0.021321299031236376,0.9239776359506544
2C_7PER_5_5C,460673,2C_7PER_5_5C|460673,main_peak_width_v,peak_width,361,1.0,361.0,0.332,0.33,-0.0020000000000000018,-0.6024096385542174,-0.19997609003721764,0.0001307323791626249,-1.7362758451815617e-06,-0.00017362758451815616,0.003962764438761868
3_6C-80PER_3_6C,460486,3_6C-80PER_3_6C|460486,main_peak_area,peak_area,1177,2.0,1178.0,1.174,1.101,-0.07299999999999995,-6.218057921635431,-0.9402568073721149,0.0,-7.820804855617526e-05,-0.007820804855617525,0.8717969595582308
3_6C-80PER_3_6C,460486,3_6C-80PER_3_6C|460486,main_peak_height_dqdv,peak_height,1177,2.0,1178.0,3.635,3.428,-0.20699999999999985,-5.694635488308112,-0.8701950072820072,0.0,-0.0002453029192717205,-0.02453029192717205,0.6855806750719498
3_6C-80PER_3_6C,460486,3_6C-80PER_3_6C|460486,main_peak_prominence,peak_prominence,1177,2.0,1178.0,3.635,3.428,-0.20699999999999985,-5.694635488308112,-0.8701950072820072,0.0,-0.0002453029192717205,-0.02453029192717205,0.6855806750719498
3_6C-80PER_3_6C,460486,3_6C-80PER_3_6C|460486,main_peak_skewness,peak_skewness,1177,2.0,1178.0,-0.319,-0.313,0.006000000000000005,1.8808777429467098,0.14482925350426964,6.045121262604631e-07,1.8651125894288595e-06,0.00018651125894288595,0.00259081334336575
3_6C-80PER_3_6C,460486,3_6C-80PER_3_6C|460486,main_peak_temp_avg_c,peak_temp_avg,1177,2.0,1178.0,31.91,31.76,-0.14999999999999858,-0.47007207771857906,-0.08217683574104222,0.004786627057979507,-0.0004916496604281891,-0.049164966042818906,0.03409238731356701
3_6C-80PER_3_6C,460486,3_6C-80PER_3_6C|460486,main_peak_temp_max_c,peak_temp_max,1177,2.0,1178.0,33.71,33.51,-0.20000000000000284,-0.5932957579353392,-0.15509308870403676,8.913773192084005e-08,-0.0005339126272980698,-0.05339126272980698,0.042939160336446625
3_6C-80PER_3_6C,460486,3_6C-80PER_3_6C|460486,main_peak_temp_min_c,peak_temp_min,1177,2.0,1178.0,29.85,30.03,0.17999999999999972,0.6030150753768835,-0.06458958524627996,0.026700924396556865,-0.0004938273558403246,-0.04938273558403246,0.03108531685813487
3_6C-80PER_3_6C,460486,3_6C-80PER_3_6C|460486,main_peak_voltage_v,peak_voltage,1177,2.0,1178.0,3.111,3.117,0.005999999999999783,0.19286403085823797,-0.3604355848115812,1.9971038140841867e-37,-7.848807266140362e-06,-0.0007848807266140361,0.1318591975201625
3_6C-80PER_3_6C,460486,3_6C-80PER_3_6C|460486,main_peak_width_v,peak_width,1177,2.0,1178.0,0.333,0.331,-0.0020000000000000018,-0.6006006006006012,-0.027783996767876226,0.3409100467740528,1.1385247727523923e-07,1.1385247727523923e-05,0.00010146637517616242
3_6C-80PER_3_6C,460514,3_6C-80PER_3_6C|460514,main_peak_area,peak_area,1188,2.0,1189.0,1.172,1.079,-0.09299999999999997,-7.935153583617746,-0.9272870756944307,0.0,-8.717260757657655e-05,-0.008717260757657655,0.8434751094844579
3_6C-80PER_3_6C,460514,3_6C-80PER_3_6C|460514,main_peak_height_dqdv,peak_height,1188,2.0,1189.0,3.624,3.316,-0.3080000000000003,-8.498896247240625,-0.8775824074103247,0.0,-0.00029340331310050903,-0.029340331310050902,0.746140997772893
3_6C-80PER_3_6C,460514,3_6C-80PER_3_6C|460514,main_peak_prominence,peak_prominence,1188,2.0,1189.0,3.624,3.316,-0.3080000000000003,-8.498896247240625,-0.8775824074103247,0.0,-0.00029340331310050903,-0.029340331310050902,0.746140997772893
3_6C-80PER_3_6C,460514,3_6C-80PER_3_6C|460514,main_peak_skewness,peak_skewness,1188,2.0,1189.0,-0.325,-0.31,0.015000000000000013,4.615384615384619,0.18057755639613257,3.6317158363453706e-10,2.6327527551535987e-06,0.00026327527551535986,0.008787081230234084
3_6C-80PER_3_6C,460514,3_6C-80PER_3_6C|460514,main_peak_temp_avg_c,peak_temp_avg,1188,2.0,1189.0,32.01,32.14,0.13000000000000256,0.4061230865354657,-0.031970134927532465,0.27087572020374207,-0.0005483264643475712,-0.05483264643475712,0.03779865709847208
3_6C-80PER_3_6C,460514,3_6C-80PER_3_6C|460514,main_peak_temp_max_c,peak_temp_max,1188,2.0,1189.0,34.69,34.51,-0.17999999999999972,-0.5188815220524639,-0.040151659617942134,0.1666577507194227,-0.0005331476058010839,-0.05331476058010839,0.03982343413884948
3_6C-80PER_3_6C,460514,3_6C-80PER_3_6C|460514,main_peak_temp_min_c,peak_temp_min,1188,2.0,1189.0,29.59,29.71,0.120000000000001,0.4055424129773606,-0.08391417659124274,0.003799288591112375,-0.0006441129785136212,-0.06441129785136213,0.04583416371648108
3_6C-80PER_3_6C,460514,3_6C-80PER_3_6C|460514,main_peak_voltage_v,peak_voltage,1188,2.0,1189.0,3.116,3.114,-0.002000000000000224,-0.06418485237484672,-0.48182535526391596,4.443359273503023e-70,-1.1237144086492479e-05,-0.001123714408649248,0.21153576782420624
3_6C-80PER_3_6C,460514,3_6C-80PER_3_6C|460514,main_peak_width_v,peak_width,1188,2.0,1189.0,0.333,0.335,0.0020000000000000018,0.6006006006006012,0.18911635809428434,5.002429047494481e-11,2.04730493930213e-06,0.000204730493930213,0.04437038170740548
3_6C-80PER_3_6C,460623,3_6C-80PER_3_6C|460623,main_peak_area,peak_area,1175,2.0,1176.0,1.185,1.115,-0.07000000000000006,-5.907172995780596,-0.9346128812289354,0.0,-7.405250983644157e-05,-0.007405250983644157,0.863999179002996
3_6C-80PER_3_6C,460623,3_6C-80PER_3_6C|460623,main_peak_height_dqdv,peak_height,1175,2.0,1176.0,3.671,3.524,-0.1469999999999998,-4.004358485426309,-0.8461432461784621,7e-323,-0.00023505992849856726,-0.023505992849856727,0.6819164622800622
3_6C-80PER_3_6C,460623,3_6C-80PER_3_6C|460623,main_peak_prominence,peak_prominence,1175,2.0,1176.0,3.671,3.524,-0.1469999999999998,-4.004358485426309,-0.8461432461784621,7e-323,-0.00023505992849856726,-0.023505992849856727,0.6819164622800622
3_6C-80PER_3_6C,460623,3_6C-80PER_3_6C|460623,main_peak_skewness,peak_skewness,1175,2.0,1176.0,-0.323,-0.303,0.020000000000000018,6.191950464396291,0.06864439913969254,0.01860845361849599,-4.7083243025679855e-08,-4.708324302567985e-06,3.3306525387688524e-06
3_6C-80PER_3_6C,460623,3_6C-80PER_3_6C|460623,main_peak_temp_avg_c,peak_temp_avg,1175,2.0,1176.0,32.15,32.08,-0.07000000000000028,-0.2177293934681191,0.014511301388583503,0.619246114435412,-0.00034050963819505574,-0.03405096381950557,0.016930457076317684
3_6C-80PER_3_6C,460623,3_6C-80PER_3_6C|460623,main_peak_temp_max_c,peak_temp_max,1175,2.0,1176.0,33.99,34.36,0.36999999999999744,1.0885554574874887,0.029146216928797125,0.31816751531883825,-0.0003071400831890378,-0.030714008318903783,0.015004027450004731
3_6C-80PER_3_6C,460623,3_6C-80PER_3_6C|460623,main_peak_temp_min_c,peak_temp_min,1175,2.0,1176.0,29.99,30.01,0.020000000000003126,0.06668889629877668,-0.06855831402630097,0.01875702133278043,-0.0004471614315377412,-0.04471614315377412,0.026604293651068422
3_6C-80PER_3_6C,460623,3_6C-80PER_3_6C|460623,main_peak_voltage_v,peak_voltage,1175,2.0,1176.0,3.12,3.127,0.006999999999999673,0.2243589743589639,-0.38428785616640443,1.2015875861870413e-42,-8.282338198972836e-06,-0.0008282338198972836,0.13775370053278813
3_6C-80PER_3_6C,460623,3_6C-80PER_3_6C|460623,main_peak_width_v,peak_width,1175,2.0,1176.0,0.332,0.325,-0.007000000000000006,-2.108433734939761,0.008498109206553188,0.771054596172348,4.4335919151408695e-07,4.433591915140869e-05,0.0022118969491813356
3_6C_22PER_5_5C,460655,3_6C_22PER_5_5C|460655,main_peak_area,peak_area,470,1.0,471.0,1.187,0.665,-0.522,-43.976411120471774,-0.9995357325283141,0.0,-0.0010339498066909798,-0.10339498066909798,0.9816427357963474
3_6C_22PER_5_5C,460655,3_6C_22PER_5_5C|460655,main_peak_height_dqdv,peak_height,470,1.0,471.0,3.734,2.064,-1.67,-44.72415640064274,-0.9983947673704587,0.0,-0.003292764777686688,-0.3292764777686688,0.9867033774098105
3_6C_22PER_5_5C,460655,3_6C_22PER_5_5C|460655,main_peak_prominence,peak_prominence,470,1.0,471.0,3.734,2.064,-1.67,-44.72415640064274,-0.9983947673704587,0.0,-0.003292764777686688,-0.3292764777686688,0.9867033774098105
3_6C_22PER_5_5C,460655,3_6C_22PER_5_5C|460655,main_peak_skewness,peak_skewness,470,1.0,471.0,-0.323,-0.211,0.11200000000000002,34.674922600619205,0.9847510704142921,0.0,0.00023749358284977726,0.023749358284977727,0.9661028709158594
3_6C_22PER_5_5C,460655,3_6C_22PER_5_5C|460655,main_peak_temp_avg_c,peak_temp_avg,470,1.0,471.0,32.86,32.87,0.00999999999999801,0.03043213633596473,-0.002649144176136402,0.954322752890083,2.109247172591239e-05,0.0021092471725912393,0.0002533185407160854
3_6C_22PER_5_5C,460655,3_6C_22PER_5_5C|460655,main_peak_temp_max_c,peak_temp_max,470,1.0,471.0,35.32,35.76,0.4399999999999977,1.2457531143827794,0.3270266256006016,3.547642979235654e-13,0.0006520475379617329,0.06520475379617328,0.10385949007132778
3_6C_22PER_5_5C,460655,3_6C_22PER_5_5C|460655,main_peak_temp_min_c,peak_temp_min,470,1.0,471.0,30.23,30.41,0.17999999999999972,0.595434998346013,-0.10991010527839251,0.01714073416891943,-0.0002491816527491625,-0.024918165274916252,0.019652676454389728
3_6C_22PER_5_5C,460655,3_6C_22PER_5_5C|460655,main_peak_voltage_v,peak_voltage,470,1.0,471.0,3.126,3.052,-0.07399999999999984,-2.3672424824056253,-0.9829442998107196,0.0,-0.00015148374792372407,-0.015148374792372406,0.9591912061289667
3_6C_22PER_5_5C,460655,3_6C_22PER_5_5C|460655,main_peak_width_v,peak_width,470,1.0,471.0,0.328,0.328,0.0,0.0,0.005819847324432393,0.8998614469209941,1.38106339145741e-06,0.00013810633914574099,0.006380743090172558
3_6C_2PER_4_85C,460635,3_6C_2PER_4_85C|460635,main_peak_area,peak_area,507,1.0,507.0,1.178,0.669,-0.5089999999999999,-43.20882852292019,-0.999295661126239,0.0,-0.0008766401744043765,-0.08766401744043766,0.9453182571981065
3_6C_2PER_4_85C,460635,3_6C_2PER_4_85C|460635,main_peak_height_dqdv,peak_height,507,1.0,507.0,3.73,2.075,-1.6549999999999998,-44.369973190348524,-0.9969430039304809,0.0,-0.0028086674208524023,-0.2808667420852402,0.9554380219325457
3_6C_2PER_4_85C,460635,3_6C_2PER_4_85C|460635,main_peak_prominence,peak_prominence,507,1.0,507.0,3.73,2.075,-1.6549999999999998,-44.369973190348524,-0.9969430039304809,0.0,-0.0028086674208524023,-0.2808667420852402,0.9554380219325457
3_6C_2PER_4_85C,460635,3_6C_2PER_4_85C|460635,main_peak_skewness,peak_skewness,507,1.0,507.0,-0.315,-0.215,0.1,31.74603174603175,0.9711519956027325,1.44146024e-316,0.0001820090609098598,0.01820090609098598,0.9280172928788664
3_6C_2PER_4_85C,460635,3_6C_2PER_4_85C|460635,main_peak_temp_avg_c,peak_temp_avg,507,1.0,507.0,31.99,32.21,0.22000000000000242,0.6877149109096669,0.2081515374124198,2.2765521167052323e-06,0.0002676018054049353,0.02676018054049353,0.04317965787069755
3_6C_2PER_4_85C,460635,3_6C_2PER_4_85C|460635,main_peak_temp_max_c,peak_temp_max,507,1.0,507.0,34.41,34.89,0.480000000000004,1.394943330427213,0.5505108947992108,1.63624482675837e-41,0.001016980412471943,0.1016980412471943,0.2894658126299323
3_6C_2PER_4_85C,460635,3_6C_2PER_4_85C|460635,main_peak_temp_min_c,peak_temp_min,507,1.0,507.0,29.6,29.98,0.379999999999999,1.2837837837837804,0.14017181374193463,0.0015559261225883793,0.00023920382148595246,0.023920382148595244,0.018225133045621567
3_6C_2PER_4_85C,460635,3_6C_2PER_4_85C|460635,main_peak_voltage_v,peak_voltage,507,1.0,507.0,3.126,3.052,-0.07399999999999984,-2.3672424824056253,-0.9670816654527387,2.557224340975087e-302,-0.00012711691174020746,-0.012711691174020746,0.9081810474582556
3_6C_2PER_4_85C,460635,3_6C_2PER_4_85C|460635,main_peak_width_v,peak_width,507,1.0,507.0,0.325,0.328,0.0030000000000000027,0.9230769230769239,0.12370795640036,0.005281620056057453,3.526521144301919e-06,0.0003526521144301919,0.046843610728297236
3_6C_30PER_6C,460634,3_6C_30PER_6C|460634,main_peak_area,peak_area,545,1.0,545.0,1.172,0.717,-0.45499999999999996,-38.822525597269625,-0.9987314783415768,0.0,-0.0007489807143746713,-0.07489807143746713,0.9871523394254857
3_6C_30PER_6C,460634,3_6C_30PER_6C|460634,main_peak_height_dqdv,peak_height,545,1.0,545.0,3.714,2.172,-1.5419999999999998,-41.51857835218094,-0.9965072355986194,0.0,-0.0024442056392069865,-0.24442056392069864,0.9769535709410645
3_6C_30PER_6C,460634,3_6C_30PER_6C|460634,main_peak_prominence,peak_prominence,545,1.0,545.0,3.714,2.172,-1.5419999999999998,-41.51857835218094,-0.9965072355986194,0.0,-0.0024442056392069865,-0.24442056392069864,0.9769535709410645
3_6C_30PER_6C,460634,3_6C_30PER_6C|460634,main_peak_skewness,peak_skewness,545,1.0,545.0,-0.3,-0.198,0.10199999999999998,34.0,0.9901934885506226,0.0,0.00018196390765198048,0.018196390765198047,0.9696214838258127
3_6C_30PER_6C,460634,3_6C_30PER_6C|460634,main_peak_temp_avg_c,peak_temp_avg,545,1.0,545.0,31.89,31.01,-0.879999999999999,-2.7594857322044497,0.28131886420679036,2.2638248590789437e-11,0.003361208880164643,0.3361208880164643,0.08482478062259602
3_6C_30PER_6C,460634,3_6C_30PER_6C|460634,main_peak_temp_max_c,peak_temp_max,545,1.0,545.0,34.69,31.59,-3.099999999999998,-8.936292879792441,0.23421687474269795,3.1582356791821585e-08,0.0038008716189369307,0.38008716189369307,0.051811922549590106
3_6C_30PER_6C,460634,3_6C_30PER_6C|460634,main_peak_temp_min_c,peak_temp_min,545,1.0,545.0,29.69,30.24,0.5499999999999972,1.8524755810036955,0.39337388276682494,1.296392737774452e-21,0.0025519924624754606,0.2551992462475461,0.1339190129467417
3_6C_30PER_6C,460634,3_6C_30PER_6C|460634,main_peak_voltage_v,peak_voltage,545,1.0,545.0,3.125,3.043,-0.08199999999999985,-2.6239999999999952,-0.9788608642597721,0.0,-0.000114597652751995,-0.011459765275199499,0.8884257882882997
3_6C_30PER_6C,460634,3_6C_30PER_6C|460634,main_peak_width_v,peak_width,545,1.0,545.0,0.325,0.336,0.01100000000000001,3.3846153846153872,0.867138187053777,1.673192593688026e-166,1.0087888366355381e-05,0.001008788836635538,0.28498733447340696
3_6C_30PER_6C,734853,3_6C_30PER_6C|734853,main_peak_area,peak_area,461,1.0,461.0,1.168,0.593,-0.575,-49.22945205479452,-0.9996665342212582,0.0,-0.00117267497192047,-0.117267497192047,0.9867952402370661
3_6C_30PER_6C,734853,3_6C_30PER_6C|734853,main_peak_height_dqdv,peak_height,461,1.0,461.0,3.697,1.899,-1.798,-48.63402758993779,-0.9990589819681726,0.0,-0.0035669172287676565,-0.35669172287676565,0.9892499881981333
3_6C_30PER_6C,734853,3_6C_30PER_6C|734853,main_peak_prominence,peak_prominence,461,1.0,461.0,3.697,1.899,-1.798,-48.63402758993779,-0.9990589819681726,0.0,-0.0035669172287676565,-0.35669172287676565,0.9892499881981333
3_6C_30PER_6C,734853,3_6C_30PER_6C|734853,main_peak_skewness,peak_skewness,461,1.0,461.0,-0.316,-0.198,0.118,37.34177215189873,0.9930832613414066,0.0,0.0002617025811121831,0.02617025811121831,0.985826486380155
3_6C_30PER_6C,734853,3_6C_30PER_6C|734853,main_peak_temp_avg_c,peak_temp_avg,461,1.0,461.0,32.36,31.36,-1.0,-3.0902348578491967,-0.7671710145979129,1.481442665011246e-90,-0.002066180730521115,-0.2066180730521115,0.5834779696844639
3_6C_30PER_6C,734853,3_6C_30PER_6C|734853,main_peak_temp_max_c,peak_temp_max,461,1.0,461.0,34.13,33.21,-0.9200000000000017,-2.6955757398183464,-0.6641960366254973,5.629108820521762e-60,-0.0018039920091226219,-0.1803992009122622,0.39800944778550384
3_6C_30PER_6C,734853,3_6C_30PER_6C|734853,main_peak_temp_min_c,peak_temp_min,461,1.0,461.0,30.84,29.79,-1.0500000000000007,-3.4046692607003917,-0.7033219345501183,4.952170630141353e-70,-0.0019153118879612035,-0.19153118879612036,0.4617365626409684
3_6C_30PER_6C,734853,3_6C_30PER_6C|734853,main_peak_voltage_v,peak_voltage,461,1.0,461.0,3.124,3.04,-0.08400000000000007,-2.688860435339311,-0.9893835099755101,0.0,-0.00017133303365502288,-0.017133303365502287,0.9744082614571352
3_6C_30PER_6C,734853,3_6C_30PER_6C|734853,main_peak_width_v,peak_width,461,1.0,461.0,0.325,0.318,-0.007000000000000006,-2.153846153846156,-0.7724743874625342,1.478541409877926e-92,-2.2260178753624157e-05,-0.0022260178753624156,0.57619055515216
3_6C_30PER_6C,739496,3_6C_30PER_6C|739496,main_peak_area,peak_area,445,1.0,445.0,1.221,0.633,-0.5880000000000001,-48.15724815724816,-0.9979341168565027,0.0,-0.00126112054514332,-0.126112054514332,0.9917405296074484
3_6C_30PER_6C,739496,3_6C_30PER_6C|739496,main_peak_height_dqdv,peak_height,445,1.0,445.0,3.927,2.003,-1.924,-48.994143111790166,-0.9976828115443738,0.0,-0.0040609621714221954,-0.40609621714221955,0.9933640030945585
3_6C_30PER_6C,739496,3_6C_30PER_6C|739496,main_peak_prominence,peak_prominence,445,1.0,445.0,3.927,2.003,-1.924,-48.994143111790166,-0.9976828115443738,0.0,-0.0040609621714221954,-0.40609621714221955,0.9933640030945585
3_6C_30PER_6C,739496,3_6C_30PER_6C|739496,main_peak_skewness,peak_skewness,445,1.0,445.0,-0.326,-0.209,0.11700000000000002,35.88957055214724,0.9914616079921523,0.0,0.00028652066688545817,0.028652066688545818,0.9758266793912195
3_6C_30PER_6C,739496,3_6C_30PER_6C|739496,main_peak_temp_avg_c,peak_temp_avg,445,1.0,445.0,35.06,29.76,-5.300000000000001,-15.116942384483743,-0.07101631057854686,0.13471459602134891,-0.0006039567556674235,-0.06039567556674235,0.0014365927966580871
