policy,cell_code,main_peak_area__cycle_end,main_peak_height_dqdv__cycle_end,main_peak_prominence__cycle_end,main_peak_skewness__cycle_end,main_peak_temp_avg_c__cycle_end,main_peak_temp_max_c__cycle_end,main_peak_temp_min_c__cycle_end,main_peak_voltage_v__cycle_end,main_peak_width_v__cycle_end,main_peak_area__cycle_start,main_peak_height_dqdv__cycle_start,main_peak_prominence__cycle_start,main_peak_skewness__cycle_start,main_peak_temp_avg_c__cycle_start,main_peak_temp_max_c__cycle_start,main_peak_temp_min_c__cycle_start,main_peak_voltage_v__cycle_start,main_peak_width_v__cycle_start,main_peak_area__delta_abs,main_peak_height_dqdv__delta_abs,main_peak_prominence__delta_abs,main_peak_skewness__delta_abs,main_peak_temp_avg_c__delta_abs,main_peak_temp_max_c__delta_abs,main_peak_temp_min_c__delta_abs,main_peak_voltage_v__delta_abs,main_peak_width_v__delta_abs,main_peak_area__delta_pct,main_peak_height_dqdv__delta_pct,main_peak_prominence__delta_pct,main_peak_skewness__delta_pct,main_peak_temp_avg_c__delta_pct,main_peak_temp_max_c__delta_pct,main_peak_temp_min_c__delta_pct,main_peak_voltage_v__delta_pct,main_peak_width_v__delta_pct,main_peak_area__linear_r2,main_peak_height_dqdv__linear_r2,main_peak_prominence__linear_r2,main_peak_skewness__linear_r2,main_peak_temp_avg_c__linear_r2,main_peak_temp_max_c__linear_r2,main_peak_temp_min_c__linear_r2,main_peak_voltage_v__linear_r2,main_peak_width_v__linear_r2,main_peak_area__n_cycles,main_peak_height_dqdv__n_cycles,main_peak_prominence__n_cycles,main_peak_skewness__n_cycles,main_peak_temp_avg_c__n_cycles,main_peak_temp_max_c__n_cycles,main_peak_temp_min_c__n_cycles,main_peak_voltage_v__n_cycles,main_peak_width_v__n_cycles,main_peak_area__slope_per_100_cycles,main_peak_height_dqdv__slope_per_100_cycles,main_peak_prominence__slope_per_100_cycles,main_peak_skewness__slope_per_100_cycles,main_peak_temp_avg_c__slope_per_100_cycles,main_peak_temp_max_c__slope_per_100_cycles,main_peak_temp_min_c__slope_per_100_cycles,main_peak_voltage_v__slope_per_100_cycles,main_peak_width_v__slope_per_100_cycles,main_peak_area__slope_per_cycle,main_peak_height_dqdv__slope_per_cycle,main_peak_prominence__slope_per_cycle,main_peak_skewness__slope_per_cycle,main_peak_temp_avg_c__slope_per_cycle,main_peak_temp_max_c__slope_per_cycle,main_peak_temp_min_c__slope_per_cycle,main_peak_voltage_v__slope_per_cycle,main_peak_width_v__slope_per_cycle,main_peak_area__spearman_pvalue,main_peak_height_dqdv__spearman_pvalue,main_peak_prominence__spearman_pvalue,main_peak_skewness__spearman_pvalue,main_peak_temp_avg_c__spearman_pvalue,main_peak_temp_max_c__spearman_pvalue,main_peak_temp_min_c__spearman_pvalue,main_peak_voltage_v__spearman_pvalue,main_peak_width_v__spearman_pvalue,main_peak_area__spearman_rho,main_peak_height_dqdv__spearman_rho,main_peak_prominence__spearman_rho,main_peak_skewness__spearman_rho,main_peak_temp_avg_c__spearman_rho,main_peak_temp_max_c__spearman_rho,main_peak_temp_min_c__spearman_rho,main_peak_voltage_v__spearman_rho,main_peak_width_v__spearman_rho,main_peak_area__value_end,main_peak_height_dqdv__value_end,main_peak_prominence__value_end,main_peak_skewness__value_end,main_peak_temp_avg_c__value_end,main_peak_temp_max_c__value_end,main_peak_temp_min_c__value_end,main_peak_voltage_v__value_end,main_peak_width_v__value_end,main_peak_area__value_start,main_peak_height_dqdv__value_start,main_peak_prominence__value_start,main_peak_skewness__value_start,main_peak_temp_avg_c__value_start,main_peak_temp_max_c__value_start,main_peak_temp_min_c__value_start,main_peak_voltage_v__value_start,main_peak_width_v__value_start
4_8C_80PER_4_8C_NEWSTRUCTURE,734869,806.0,806.0,806.0,806.0,806.0,806.0,806.0,806.0,806.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5579999999999999,-1.761,-1.761,0.087,0.8799999999999955,0.9100000000000037,1.0,-0.07799999999999985,-0.0050000000000000044,-47.692307692307686,-47.41518578352181,-47.41518578352181,28.999999999999996,2.665051483949108,2.562658406082804,3.2456994482310937,-2.4944035817077026,-1.5432098765432112,0.9109678134603352,0.9281516035344536,0.9281516035344536,0.9244670232719134,0.570635109648481,0.4654223262675975,0.6299281960551137,0.822409101250374,0.08194792682263718,806,806,806,806,806,806,806,806,806,-0.055378196051720466,-0.17285732792002398,-0.17285732792002398,0.010452497079816592,0.16057597985782654,0.13922977287055627,0.2186556218694406,-0.006448800864145655,-0.00036685765576208076,-0.0005537819605172047,-0.0017285732792002397,-0.0017285732792002397,0.00010452497079816593,0.0016057597985782654,0.0013922977287055627,0.002186556218694406,-6.448800864145655e-05,-3.6685765576208077e-06,0.0,0.0,0.0,0.0,1.4171169256810177e-151,7.215236922723191e-116,1.6790340896881103e-178,0.0,1.9872423122951278e-07,-0.9981216408713649,-0.9962534268651043,-0.9962534268651043,0.9819446377865857,0.758335472603513,0.6919236722583864,0.7973455870772678,-0.9473698535709919,-0.18193225782988076,0.612,1.953,1.953,-0.213,33.9,36.42,31.81,3.049,0.319,1.17,3.714,3.714,-0.3,33.02,35.51,30.81,3.127,0.324
4_8C_80PER_4_8C_NEWSTRUCTURE,737214,1061.0,1061.0,1061.0,1061.0,1061.0,1061.0,1061.0,1061.0,1061.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5459999999999999,-1.8630000000000002,-1.8630000000000002,0.097,-0.5799999999999983,-0.4399999999999977,-0.6700000000000017,-0.06599999999999984,0.0050000000000000044,-46.90721649484536,-48.30178895514649,-48.30178895514649,30.407523510971785,-1.775872627066743,-1.265094882116152,-2.1816997720612235,-2.119460500963386,1.6077170418006443,0.8410557083729805,0.8617491225878944,0.8617491225878944,0.8408634102788788,0.0007678042937989682,0.0003728415863195611,0.014124351254955703,0.717254104559429,0.3561278620492664,1061,1061,1061,1061,1061,1061,1061,1061,1061,-0.03971551678493465,-0.13935199298399403,-0.13935199298399403,0.006970899227698841,0.0052238562293446,-0.004797603112392269,0.055916278928638506,-0.004794395112104646,0.0006637124530592875,-0.0003971551678493465,-0.0013935199298399405,-0.0013935199298399405,6.97089922769884e-05,5.223856229344601e-05,-4.797603112392269e-05,0.000559162789286385,-4.7943951121046456e-05,6.637124530592875e-06,0.0,0.0,0.0,0.0,0.4724297004737389,0.5308590611757,8.124190804358249e-15,0.0,2.2997661044329117e-84,-0.9938119514480511,-0.9897169401079714,-0.9897169401079714,0.9654053563507711,0.022082453819774663,-0.01926063560695654,0.23532839515048262,-0.9234519034910735,0.5484636315000023,0.618,1.994,1.994,-0.222,32.08,34.34,30.04,3.048,0.316,1.164,3.857,3.857,-0.319,32.66,34.78,30.71,3.114,0.311
4_8C_80PER_4_8C_NEWSTRUCTURE,737277,1077.0,1077.0,1077.0,1077.0,1077.0,1077.0,1077.0,1077.0,1077.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.348,-1.108,-1.108,0.06,0.37999999999999545,0.3999999999999986,0.4400000000000013,-0.030999999999999694,0.0020000000000000018,-30.077787381158167,-30.915178571428577,-30.915178571428577,18.633540372670808,1.1786600496277773,1.1750881316098667,1.4350945857795214,-0.9955041746949164,0.6024096385542174,0.8483717456133422,0.8514195970056239,0.8514195970056239,0.6136155713849376,0.005414344537418403,0.015547286015548778,0.016421589529883485,0.6259636235270809,0.20988106777496507,1077,1077,1077,1077,1077,1077,1077,1077,1077,-0.024659213791561985,-0.0811171585734195,-0.0811171585734195,0.0033564334768333894,0.01036304837209484,0.01760687518612625,0.017897691431006307,-0.0029791302578015535,0.0004162240864475097,-0.00024659213791561986,-0.000811171585734195,-0.000811171585734195,3.3564334768333896e-05,0.00010363048372094841,0.00017606875186126252,0.0001789769143100631,-2.9791302578015533e-05,4.162240864475097e-06,0.0,0.0,0.0,3.59630838979179e-231,0.003997943958465351,3.900546620299802e-05,0.00025287333464576073,5.2964425585869535e-208,1.538411833947141e-64,-0.997590756372719,-0.9848436696669409,-0.9848436696669409,0.7905429127051428,0.08763947523719169,0.12499105194234308,0.11128761465498971,-0.7654086402851152,0.4847014096412987,0.809,2.476,2.476,-0.262,32.62,34.44,31.1,3.083,0.334,1.157,3.584,3.584,-0.322,32.24,34.04,30.66,3.114,0.332
4_8C_80PER_4_8C_NEWSTRUCTURE,737297,2237.0,2237.0,2237.0,2237.0,2237.0,2237.0,2237.0,2237.0,2237.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.16300000000000003,-0.625,-0.625,0.0010000000000000009,0.8599999999999994,-0.4000000000000057,1.8999999999999986,-0.002000000000000224,0.009000000000000008,-13.50455675227838,-16.04209445585216,-16.04209445585216,0.32467532467532495,2.5007269555103213,-1.0793308148947804,5.922693266832914,-0.06375518010839093,2.8213166144200654,0.9482792897215515,0.8699411074997135,0.8699411074997135,0.011067292164470666,0.08184613205081614,0.15434329530454438,0.0046633369449174955,0.22535432421624235,0.18897764052410326,2237,2237,2237,2237,2237,2237,2237,2237,2237,-0.006326105083612283,-0.02329985323697731,-0.02329985323697731,0.0001817118776832821,-0.03738881837613025,-0.05643225355845541,-0.008679615633515502,-0.0005392487924434619,0.0003022437492083309,-6.326105083612283e-05,-0.00023299853236977312,-0.00023299853236977312,1.8171187768328209e-06,-0.00037388818376130246,-0.000564322535584554,-8.679615633515503e-05,-5.392487924434619e-06,3.022437492083309e-06,0.0,0.0,0.0,1.7489998098650006e-24,2.9675118062579612e-31,5.636784118557747e-50,0.0002929939665358269,2.1520666605502928e-115,1.1470686463774888e-110,-0.9901677291423674,-0.9402389810095816,-0.9402389810095816,0.21354048958786792,-0.24231495735084801,-0.30683225526357366,-0.07649822975080467,-0.45617734944739824,0.4476170125307817,1.044,3.271,3.271,-0.307,35.25,36.66,33.98,3.135,0.328,1.207,3.896,3.896,-0.308,34.39,37.06,32.08,3.137,0.319
4_8C_80PER_4_8C_NEWSTRUCTURE,737299,2189.0,2189.0,2189.0,2189.0,2189.0,2189.0,2189.0,2189.0,2189.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.22499999999999998,-0.7160000000000002,-0.7160000000000002,0.019000000000000017,-0.9299999999999997,-1.2800000000000011,0.370000000000001,-0.008999999999999897,0.0020000000000000018,-19.329896907216497,-19.883365731741186,-19.883365731741186,5.937500000000005,-2.720093594618309,-3.457590491626151,1.1671924290220852,-0.2887391722810361,0.6006006006006012,0.8811014382368435,0.8421274005635004,0.8421274005635004,0.12011161970692752,0.4313568461403191,0.6073828443501372,0.16981027827583883,0.41353258031772144,0.07538098840527685,2189,2189,2189,2189,2189,2189,2189,2189,2189,-0.007677867780120815,-0.02523265950347258,-0.02523265950347258,0.0004111104904017941,-0.08513208811925106,-0.116722919672343,-0.05035807027515493,-0.0008951393643757562,0.00012426609496629963,-7.677867780120815e-05,-0.0002523265950347258,-0.0002523265950347258,4.111104904017941e-06,-0.0008513208811925106,-0.00116722919672343,-0.0005035807027515493,-8.951393643757562e-06,1.2426609496629963e-06,0.0,0.0,0.0,1.5061227972704674e-89,3.2815072358150014e-176,0.0,7.148600239360831e-54,2.821232896906373e-209,6.518005807877749e-37,-0.9864262133644356,-0.951924092469956,-0.951924092469956,0.4100812397831473,-0.5538305899963414,-0.8193940022543431,-0.32166248326952945,-0.5944026576737055,0.26651242521545443,0.939,2.885,2.885,-0.301,33.26,35.74,32.07,3.108,0.335,1.164,3.601,3.601,-0.32,34.19,37.02,31.7,3.117,0.333
4_8C_80PER_4_8C_NEWSTRUCTURE,737307,1835.0,1835.0,1835.0,1835.0,1835.0,1835.0,1835.0,1835.0,1835.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.349,-1.1780000000000004,-1.1780000000000004,0.019000000000000017,-0.240000000000002,0.17999999999999972,-1.240000000000002,-0.04400000000000004,0.006000000000000005,-29.18060200668896,-30.76521284930792,-30.76521284930792,6.012658227848107,-0.7359705611775591,0.5314437555358716,-3.975633215774293,-1.4044047239067998,1.8633540372670823,0.8321212698741363,0.8479883224609448,0.8479883224609448,0.30223827778718915,0.09363283487708007,0.07810941035540508,0.06646215389595866,0.5240597003477052,0.33726517482206686,1835,1835,1835,1835,1835,1835,1835,1835,1835,-0.013903521985924008,-0.04812966679832153,-0.04812966679832153,0.001146384630770535,-0.04488478226464221,-0.038436388623154925,-0.04135198268836771,-0.001541130128028834,0.00042235954084472884,-0.00013903521985924008,-0.00048129666798321527,-0.00048129666798321527,1.1463846307705351e-05,-0.00044884782264642206,-0.0003843638862315492,-0.00041351982688367714,-1.541130128028834e-05,4.223595408447288e-06,0.0,0.0,0.0,1.0488770472161589e-156,1.1998125510768571e-05,5.323970064839762e-05,0.02517708656993239,3.1423292109557065e-275,1.690671712795571e-179,-0.9942979936084766,-0.9774831140537266,-0.9774831140537266,0.5671762035368149,-0.10199567737422063,-0.09418733220255938,-0.05226032663581144,-0.7044546824910825,0.5995010731606103,0.847,2.651,2.651,-0.297,32.37,34.05,29.95,3.089,0.328,1.196,3.829,3.829,-0.316,32.61,33.87,31.19,3.133,0.322
4_8C_80PER_4_8C_NEWSTRUCTURE,737338,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.566,-1.714,-1.714,0.11200000000000002,-0.41999999999999815,-0.10999999999999943,0.030000000000001137,-0.07400000000000029,-0.013000000000000012,-48.45890410958904,-47.02331961591221,-47.02331961591221,34.78260869565218,-1.3092269326683235,-0.3312255344775653,0.09842519685039743,-2.37255530618789,-3.9393939393939426,0.9171307063955227,0.9350038013322703,0.9350038013322703,0.9137003277278547,0.059354747161778576,0.0019447489510345806,0.2337613657836527,0.8571771703291862,0.07578480666978116,834,834,834,834,834,834,834,834,834,-0.05383603249596919,-0.16833063230030768,-0.16833063230030768,0.010325343940186724,0.015800011470574703,0.003516016323384067,0.04430141677142128,-0.0069924751876365415,-0.0003456646519375692,-0.0005383603249596918,-0.0016833063230030768,-0.0016833063230030768,0.00010325343940186724,0.00015800011470574704,3.516016323384067e-05,0.0004430141677142128,-6.992475187636541e-05,-3.456646519375692e-06,0.0,0.0,0.0,0.0,1.3396864868608444e-14,0.045082875304233785,1.1095262848878457e-53,0.0,4.525829523448106e-09,-0.9995652011311588,-0.9974860363349426,-0.9974860363349426,0.9772927938037524,0.2624043203697545,0.06940910677127153,0.49884609567676624,-0.9611455424376815,-0.2012649787378044,0.602,1.931,1.931,-0.21,31.66,33.1,30.51,3.045,0.317,1.168,3.645,3.645,-0.322,32.08,33.21,30.48,3.119,0.33
4_8C_80PER_4_8C_NEWSTRUCTURE,737345,1637.0,1637.0,1637.0,1637.0,1637.0,1637.0,1637.0,1637.0,1637.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.30900000000000005,-1.0510000000000002,-1.0510000000000002,0.028000000000000025,2.25,1.5300000000000011,3.400000000000002,-0.020000000000000018,0.008000000000000007,-26.253186066270185,-28.466955579631637,-28.466955579631637,8.695652173913052,6.588579795021962,4.16666666666667,10.64495929868504,-0.6397952655150357,2.4316109422492422,0.8773370892352256,0.8687523575364244,0.8687523575364244,0.17010960217401694,0.28831843993637996,0.136453716462823,0.4535904486256712,0.47780034890616885,0.34661075047753687,1637,1637,1637,1637,1637,1637,1637,1637,1637,-0.014110112964911678,-0.048904393253514186,-0.048904393253514186,0.0008208334638846479,0.07117324885828764,0.038188473493382794,0.12246444762392279,-0.0011619054862627668,0.0004928124714602461,-0.00014110112964911678,-0.0004890439325351419,-0.0004890439325351419,8.20833463884648e-06,0.0007117324885828765,0.0003818847349338279,0.001224644476239228,-1.1619054862627669e-05,4.928124714602461e-06,0.0,0.0,0.0,2.5574322270215517e-99,2.0820578668652922e-92,3.4506229963341426e-64,6.019078829858457e-125,2.383450664586536e-230,1.45974874696888e-181,-0.997650562777509,-0.9779487122706954,-0.9779487122706954,0.48937739103100253,0.4738907240091637,0.40074223370796525,0.5407098740539309,-0.6884610645735392,0.6297296315412548,0.868,2.641,2.641,-0.294,36.4,38.25,35.34,3.106,0.337,1.177,3.692,3.692,-0.322,34.15,36.72,31.94,3.126,0.329
4_8C_80PER_4_8C_NEWSTRUCTURE,737364,1389.0,1389.0,1389.0,1389.0,1389.0,1389.0,1389.0,1389.0,1389.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.4680000000000001,-2.3680000000000003,-2.3680000000000003,-0.188,3.0800000000000054,2.1499999999999986,4.350000000000001,-0.06800000000000006,0.07,-34.82142857142858,-47.19952162647,-47.19952162647,-175.70093457943926,8.997955010224965,5.826558265582652,13.666352497643738,-2.1370207416719063,25.925925925925924,0.7331677684020624,0.5160078842697107,0.5160077444905904,0.004193233341762914,0.35929195573787887,0.2605826371599682,0.45503582843857615,0.12508313263145654,0.05929020005503449,1389,1389,1389,1389,1389,1389,1389,1389,1389,-0.014117552311652739,-0.04993598165205899,-0.0499361948002677,0.0012159415694487751,0.10889301343608176,0.07457149933509866,0.15919107389037795,-0.0008277565895820609,0.0005612541604761205,-0.0001411755231165274,-0.0004993598165205899,-0.000499361948002677,1.2159415694487752e-05,0.0010889301343608177,0.0007457149933509866,0.0015919107389037795,-8.27756589582061e-06,5.612541604761205e-06,0.0,0.0,0.0,1.762109023322733e-69,5.641315643921323e-81,5.149624502344073e-70,2.2446642700872475e-102,2.066572931827345e-76,5.762501039593018e-97,-0.9691692947687721,-0.9366343546119346,-0.9366337254646865,0.4478819100878042,0.4800583650683753,0.4494563015042692,0.532101429321941,-0.4676916150981668,0.519773704439106,0.876,2.649,2.649,-0.295,37.31,39.05,36.18,3.114,0.34,1.344,5.017,5.017,-0.107,34.23,36.9,31.83,3.182,0.27
4_8C_80PER_4_8C_NEWSTRUCTURE,737377,1641.0,1641.0,1641.0,1641.0,1641.0,1641.0,1641.0,1641.0,1641.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.34199999999999997,-1.085,-1.085,0.046999999999999986,1.2100000000000009,1.5700000000000003,1.0999999999999979,-0.02900000000000036,0.0,-29.331046312178387,-29.791323448654584,-29.791323448654584,14.551083591331265,3.7242228377962476,4.558652729384438,3.600654664484445,-0.9321761491481954,0.0,0.8768689948017523,0.8791070085779061,0.8791070085779061,0.4852631421244691,0.3582804996566693,0.3500236887054299,0.4053435010311799,0.46857814170484124,0.34860436741588496,1641,1641,1641,1641,1641,1641,1641,1641,1641,-0.015566004186162686,-0.052991737653962596,-0.052991737653962596,0.0015057916693528015,0.12239110385857134,0.12766823333215607,0.13422091009906043,-0.0013474690954283274,0.0003944170304987718,-0.00015566004186162686,-0.000529917376539626,-0.000529917376539626,1.5057916693528015e-05,0.0012239110385857135,0.0012766823333215608,0.0013422091009906041,-1.3474690954283274e-05,3.944170304987718e-06,0.0,0.0,0.0,1.3500247969628079e-225,4.003884154766727e-89,1.0512260392397047e-93,2.083000563367453e-125,6.4520312605598315e-220,4.879076520477736e-174,-0.9871315964447404,-0.9781124759904839,-0.9781124759904839,0.6826966188100626,0.4657399434802796,0.4763475142349693,0.5410033355581524,-0.6763817970416477,0.6188040445684095,0.824,2.557,2.557,-0.276,33.7,36.01,31.65,3.082,0.33,1.166,3.642,3.642,-0.323,32.49,34.44,30.55,3.111,0.33
4_8C_80PER_4_8C_NEWSTRUCTURE,739484,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.32900000000000007,-1.084,-1.084,0.04200000000000004,-0.8000000000000007,-1.9499999999999957,0.23000000000000043,-0.02100000000000035,0.006000000000000005,-27.952421410365343,-29.50462710941753,-29.50462710941753,12.765957446808521,-2.477547228244041,-5.757307351638606,0.7467532467532482,-0.6741573033707977,1.81818181818182,0.819343585828074,0.8210720268210745,0.8210720268210745,0.17835806173549773,1.2713067057745775e-05,0.01873774385140059,0.03629516261198562,0.41929657647615703,0.27990036258345363,1800,1800,1800,1800,1800,1800,1800,1800,1800,-0.01255885963750806,-0.04273650259357042,-0.04273650259357042,0.000765942520352613,-0.0004126698804551106,-0.016127583166949254,0.023612750086242633,-0.0012203875165803417,0.0003501525772075957,-0.0001255885963750806,-0.0004273650259357042,-0.0004273650259357042,7.65942520352613e-06,-4.126698804551106e-06,-0.00016127583166949253,0.00023612750086242633,-1.2203875165803416e-05,3.501525772075957e-06,0.0,0.0,0.0,3.4573775726978246e-104,3.528473087858344e-11,0.009965000630903836,1.3856432346163497e-35,1.0688397208279454e-191,3.2321738293671517e-144,-0.9960431998732596,-0.9759864384172524,-0.9759864384172524,0.47960209892470024,0.15525747847476234,0.06072757029049343,0.2874509386814118,-0.6200409635059055,0.5522143366083211,0.848,2.59,2.59,-0.287,31.49,31.92,31.03,3.094,0.336,1.177,3.674,3.674,-0.329,32.29,33.87,30.8,3.115,0.33
4_8C_80PER_4_8C_SLOWCYCLE,737351,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.09999999999999987,-0.3820000000000001,-0.3820000000000001,0.0,269.25,670.0,0.0,-0.04200000000000026,0.006000000000000005,-8.389261744966433,-10.129939008220635,-10.129939008220635,0.0,99.72222222222223,248.14814814814815,0.0,-1.3448607108549555,1.8404907975460139,0.9121408153214245,0.738315789326925,0.738315789326925,0.13099038892288162,0.019851848874773204,0.0385734486549848,0.0120470588235293,0.1174121000612296,0.08239622656459678,101,101,101,101,101,101,101,101,101,-0.07492020966802578,-0.27164472917880217,-0.27164472917880217,0.010842166569598096,33.782772277227735,87.44492719860227,6.9203494467095865,-0.0096983110075719,0.003142690739662168,-0.0007492020966802577,-0.0027164472917880216,-0.0027164472917880216,0.00010842166569598096,0.33782772277227735,0.8744492719860227,0.06920349446709587,-9.698311007571901e-05,3.142690739662168e-05,6.227177907634029e-66,1.6748280715250476e-30,1.6748280715250476e-30,1.2227755889103512e-05,0.21746066677898265,0.8065143721405088,0.274551835183978,0.004875227993598222,0.0020555326086661944,-0.9743416743905275,-0.8587112906475031,-0.8587112906475031,0.42009600747098175,0.12378698788258545,0.024674384652826904,0.10975909449120566,-0.278034559509998,0.3032001123442934,1.092,3.389,3.389,-0.319,-0.75,400.0,-270.0,3.081,0.332,1.192,3.771,3.771,-0.319,-270.0,-270.0,-270.0,3.123,0.326
4_9C_27PER_4_75C,460614,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5089999999999999,-1.617,-1.617,0.10500000000000001,0.20000000000000284,0.25,0.5100000000000016,-0.07099999999999973,0.0,-43.5042735042735,-44.083969465648856,-44.083969465648856,33.22784810126583,0.6186204763377756,0.7212925562608195,1.703975943869033,-2.274183215887243,0.0,0.9478084987538891,0.9575155600503392,0.9575155600503392,0.9168046845043508,0.0017038624458336482,0.1661369925661047,0.0011199979404242777,0.9157968993424668,0.005429726042867067,494,494,494,494,494,494,494,494,494,-0.09150072189382608,-0.29068878983783736,-0.29068878983783736,0.01919836216348213,0.007591935703783625,0.09367059301947327,-0.007024782468731737,-0.01369027132053951,0.00013092405947538022,-0.0009150072189382608,-0.002906887898378374,-0.002906887898378374,0.0001919836216348213,7.591935703783626e-05,0.0009367059301947327,-7.024782468731737e-05,-0.0001369027132053951,1.3092405947538023e-06,0.0,0.0,0.0,1.1217662760066768e-287,0.5070338631259228,5.900017016883274e-21,0.24365168635395906,4.944490156565729e-296,0.4061769865949941,-0.9990567151243221,-0.9964124591704213,-0.9964124591704213,0.9648426213188813,0.029919738818474772,0.4053116718372439,-0.0525535558636708,-0.9675316033168009,-0.037454032756813194,0.661,2.051,2.051,-0.211,32.53,34.91,30.44,3.051,0.328,1.17,3.668,3.668,-0.316,32.33,34.66,29.93,3.122,0.328
4_9C_61PER_4_5C,460610,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.4930000000000001,-1.596,-1.596,0.088,0.17999999999999972,0.46000000000000085,0.14000000000000057,-0.07399999999999984,0.0020000000000000018,-41.673710904480146,-42.799678197908285,-42.799678197908285,28.205128205128204,0.5421686746987943,1.2845573862049728,0.45706823375775574,-2.366485449312435,0.6116207951070342,0.9130414641902131,0.9120923912982063,0.8740029970463284,0.6372647977788268,0.015292296266582905,0.13860443037214087,0.014049940620340928,0.8673328464563707,0.006573460592255165,541,541,541,541,541,541,541,541,541,-0.08140046335768343,-0.26024705589015235,-0.26008631306276114,0.014910333391688823,0.026698315042299126,0.08776376488348914,0.02935136745083106,-0.011885435305369643,0.0002655629144092179,-0.0008140046335768343,-0.0026024705589015235,-0.0026008631306276113,0.00014910333391688824,0.00026698315042299127,0.0008776376488348913,0.0002935136745083106,-0.00011885435305369642,2.655629144092179e-06,0.0,0.0,0.0,2.3759233826646178e-244,0.013937030113734783,9.524307780620581e-17,0.010380228369930961,5.653010754064829e-281,0.716195934697468,-0.995389629696773,-0.9918912587700914,-0.9918912587700914,0.9347293173825031,0.10566391983058311,0.34694411417009696,0.11010709793765164,-0.9527024754660738,-0.015665402822305732,0.69,2.133,2.133,-0.224,33.38,36.27,30.77,3.053,0.329,1.183,3.729,3.729,-0.312,33.2,35.81,30.63,3.127,0.327
4_9C_69PER_4_25C,460604,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.503,-1.577,-1.577,0.09700000000000003,0.14999999999999858,0.4399999999999977,-0.28000000000000114,-0.06499999999999995,-0.0030000000000000027,-42.37573715248526,-42.42668818940005,-42.42668818940005,29.216867469879524,0.44869877355668136,1.2025143481825573,-0.909681611436001,-2.0819987187700177,-0.9118541033434658,0.9183986517222594,0.9353596011230676,0.9353596011230676,0.8916079520044732,0.06733071145828362,0.3545203870333774,0.01148695919302789,0.8653685720052661,0.12700024609683025,522,522,522,522,522,522,522,522,522,-0.08343635146530934,-0.27232549907890524,-0.27232549907890524,0.015082944539701526,0.04180537088025205,0.13122864440219437,0.02019461638036847,-0.011877353858751431,0.0007452410507861082,-0.0008343635146530933,-0.0027232549907890524,-0.0027232549907890524,0.00015082944539701525,0.0004180537088025205,0.0013122864440219437,0.00020194616380368472,-0.00011877353858751432,7.452410507861082e-06,0.0,0.0,0.0,4.0702933386781957e-258,2.72836782318236e-07,3.87056092189007e-48,0.02014453756655634,2.5433248170512677e-267,5.355049745753261e-14,-0.9985417908925982,-0.9952735494720026,-0.9952735494720026,0.9467604302225348,0.22272996374919252,0.5794268590579009,0.10168320552163855,-0.9510346693222674,0.32127226087606076,0.684,2.14,2.14,-0.235,33.58,37.03,30.5,3.057,0.326,1.187,3.717,3.717,-0.332,33.43,36.59,30.78,3.122,0.329
