policy,cell_code,rho_cycle_q,rho_cycle_ir,rho_y_capdrop_vs_y_irrise,n_rows
4_4C_8PER_4_85C,460652,-0.9730111028854067,-0.15443017303688056,0.9521854515011433,331
4_65C_19PER_4_85C,460603,-0.9897057100166994,0.4690431004388618,0.9798098614244279,320
4_65C_44PER_5C,463245,-0.9776084975292377,0.7959030673183685,0.9690117408913063,340
4_65C_44PER_5C,737292,-0.6202260413974756,0.7926912879658309,0.9286363304173425,317
4_65C_44PER_5C,737362,-0.7406191051856714,0.525723693563638,0.9835209973465285,293
4_65C_69PER_6C,460501,-0.9972789285149428,0.7570662207583887,0.9816535275018116,362
4_65C_69PER_6C,737376,-0.9173809259826908,0.5900025435501438,0.9887901179815951,264
4_65C_69PER_6C,737384,-0.8146124265003479,0.6122630830468111,0.9848131719419593,283
4_8C-80PER_4_8C,463886,-0.9914970805483477,-0.17616777973090517,0.7884579547477475,432
4_8C-80PER_4_8C,465027,-0.9975617961708396,0.362099360805271,0.7891238083457763,666
4_8C_80PER_4_8C,460596,-0.9841965251944826,0.2646009667281904,0.9891378601620796,298
4_8C_80PER_4_8C,460597,-0.9626299030633396,0.5199491554292179,0.9265602921330476,324
4_8C_80PER_4_8C,460611,-0.9821617638156845,0.33223213073313196,0.9909023902926342,287
4_8C_80PER_4_8C,737254,-0.9338771295818276,0.6957774236268546,0.9936840923884985,299
4_8C_80PER_4_8C,737298,-0.4121495915291753,0.4457676554090022,0.9728991689832613,319
4_8C_80PER_4_8C,737374,-0.46979177870714256,0.45972300430868124,0.9706092260191201,336
4_8C_80PER_4_8C,737389,-0.49751373311970704,0.26037780384527354,0.9972805561913481,256
4_8C_80PER_4_8C_NEWSTRUCTURE,734869,-0.9367709339916145,0.22450973873960012,0.9669901391816582,606
4_8C_80PER_4_8C_NEWSTRUCTURE,737277,-0.9979567851792935,0.22155328161648555,0.8588198334266671,877
4_8C_80PER_4_8C_NEWSTRUCTURE,737297,-0.9998601898620282,0.748769392676447,0.4275071402963611,2037
4_8C_80PER_4_8C_NEWSTRUCTURE,737299,-0.9997663684340948,0.741052596382972,-0.05194828597009343,1989
4_8C_80PER_4_8C_NEWSTRUCTURE,737307,-0.9993806255642471,0.6435041726532301,0.1511153779278772,1635
4_8C_80PER_4_8C_NEWSTRUCTURE,737338,-0.9769285346575238,0.30549399163513397,0.9941186975471265,634
4_8C_80PER_4_8C_NEWSTRUCTURE,737345,-0.9996313206469749,0.21299407402644624,0.02437257763891688,1437
4_8C_80PER_4_8C_NEWSTRUCTURE,737364,-0.9950474934641728,0.6789310831648593,0.06048554753348698,1189
4_8C_80PER_4_8C_NEWSTRUCTURE,737377,-0.9994434343530127,-0.28700278881077146,0.07988828903747751,1441
4_8C_80PER_4_8C_NEWSTRUCTURE,739484,-0.9995049243660702,-0.15798177122366286,-0.030630196535233023,1600
4_9C_27PER_4_75C,460614,-0.9580462850746422,0.24619488325779182,0.9718857217646564,295
4_9C_61PER_4_5C,460610,-0.9461753467594689,0.07824012972231298,0.9054063051366557,341
4_9C_69PER_4_25C,460604,-0.8826452394322037,0.849067347768253,0.7360191836524169,322
5C_67PER_4C_NEWSTRUCTURE,737233,-0.9956302385022534,-0.6770703464370892,0.8993277716918283,627
5C_67PER_4C_NEWSTRUCTURE,737304,-0.9996047542925084,0.8263676606440994,0.28889671503562925,1083
5C_67PER_4C_NEWSTRUCTURE,737315,-0.9966667351597251,0.39994749156390214,0.69403869070663,612
5C_67PER_4C_NEWSTRUCTURE,737329,-0.9979820546742953,0.3176094623359209,0.4281973369907653,808
5C_67PER_4C_NEWSTRUCTURE,737334,-0.9998841127272163,0.716961095647388,0.106253652998713,1734
5C_67PER_4C_NEWSTRUCTURE,737367,-0.9974827905813657,-0.07912945693834765,0.20764946690668645,845
5C_67PER_4C_NEWSTRUCTURE,737368,-0.9907620569300167,0.002991480540491935,0.6103338189899987,624
5_2C_10PER_4_75C,460527,-0.951228403709722,0.10909068287175276,0.9829834213815819,307
5_2C_37PER_4_5C,460608,-0.9446341515934779,-0.27751654986808005,0.8867920831608209,319
5_2C_50PER_4_25C,460631,-0.9230300064558541,0.7227039834765651,0.6960351033378829,344
5_2C_50PER_4_25C,720603,-0.1980811588202728,0.37268116451601563,0.4951601561126543,239
5_2C_50PER_4_25C,737236,-0.5589240034486134,0.7714080186210958,0.7225459254374407,267
5_2C_50PER_4_25C,739473,0.3982253895527073,0.8995416297333838,0.6727909921273666,293
5_2C_50PER_4_25C,739478,0.5361214478129381,0.6568666628845663,0.6605673025790392,268
5_2C_58PER_4C,460641,-0.9275537968504481,0.9174699414295457,0.4494861712752759,346
5_2C_58PER_4C,737291,-0.11067199711267509,0.5506450846815748,0.4772183585742908,296
5_2C_58PER_4C,737318,0.34162910007739383,0.910353509286616,0.40342607294168337,311
5_2C_58PER_4C,737383,0.39854501890743815,0.974446837405177,0.5930643767404217,270
5_2C_58PER_4C,739494,0.6692723204516494,0.8645210804992687,0.26390144459556664,306
5_2C_58PER_4C_NEWSTRUCTURE,737286,-0.993121362786264,0.9883564638043523,0.34530464099374997,990
5_2C_58PER_4C_NEWSTRUCTURE,739489,-0.7057105427055816,0.879170454793838,0.3790683083295894,747
5_2C_66PER_3_5C,460492,-0.9210404769429928,0.574130061556681,0.7695281225781592,326
5_2C_71PER_3C,460628,-0.9558188866100457,0.3150309183875094,0.9776808557296363,286
5_3C_54PER_4C_NEWSTRUCTURE,737259,-0.9959855066026929,0.781251303831459,0.7509367752114965,788
5_3C_54PER_4C_NEWSTRUCTURE,737270,-0.9967324408382069,0.9179302490783617,0.7102763695642185,838
5_3C_54PER_4C_NEWSTRUCTURE,737313,-0.999018786889168,0.8929860007226195,0.8203262745974115,862
5_3C_54PER_4C_NEWSTRUCTURE,737350,-0.9996192028031975,0.9085209386704982,0.8598487096146247,957
5_3C_54PER_4C_NEWSTRUCTURE,737361,-0.9989248009519507,0.7663855990396119,0.619178539115325,955
5_3C_54PER_4C_NEWSTRUCTURE,737369,-0.9946227894408283,-0.06580929587959523,0.46422252808272146,739
5_3C_54PER_4C_NEWSTRUCTURE,737378,-0.9988262646981385,0.9199628978432114,0.8813983101227129,1114
5_3C_54PER_4C_NEWSTRUCTURE,737380,-0.9974885101994961,0.41712668630160243,0.7782771495801818,734
5_4C-40PER_3_6C,460468,-0.9951824744685936,0.7032363114888961,0.6038759800108454,851
5_4C-40PER_3_6C,464898,-0.9949120439234697,0.6605419577659344,0.46462652110592356,677
5_4C-50PER_3C,463882,-0.9861114073313608,0.22944003528133794,0.7071635696086459,584
5_4C-50PER_3C,463980,-0.9896231223133747,0.5986709152972755,0.44581974479113906,702
5_4C-50PER_3_6C,460472,-0.9929893091849922,0.5239982822122378,0.5240716118079541,700
5_4C-50PER_3_6C,460658,-0.9950754669159024,0.5205623861092598,0.33678680428408936,695
5_4C-60PER_3C,453113,-0.974028643739434,0.06014498086626844,0.6228280659255424,517
5_4C-60PER_3C,463838,-0.9883315603563079,0.36892574623231605,0.6562469492491161,678
5_4C-60PER_3_6C,460522,-0.9886288959494037,0.3775253311780276,0.47100880706615034,655
5_4C-60PER_3_6C,460653,-0.9900093950059696,0.31227421455193544,0.5771989108456708,658
5_4C-70PER_3C,453240,-0.9980400603770031,0.11830744946522442,0.885123850712924,488
5_4C-70PER_3C,464881,-0.9970821519892016,0.6636366432357544,0.7941106339941163,586
5_4C-80PER_5_4C,463871,-0.9987107082695679,0.9009959202941894,0.8819733866922732,355
5_4C-80PER_5_4C,464002,-0.999582515540468,0.804886763297768,0.8829050103974575,330
5_6C_19PER_4_6C_NEWSTRUCTURE,737274,-0.9997652065448676,0.6821773942062767,0.8552835210600287,945
5_6C_19PER_4_6C_NEWSTRUCTURE,737276,-0.9984073877658097,-0.510748323186732,0.9515850398563763,616
5_6C_19PER_4_6C_NEWSTRUCTURE,737287,-0.9978729808580477,0.7969972570565671,0.8123269005723635,827
5_6C_19PER_4_6C_NEWSTRUCTURE,737294,-0.9997082728290554,0.7980540872748532,0.5019197180795385,1066
5_6C_19PER_4_6C_NEWSTRUCTURE,737319,-0.997144910384761,-0.6975285867186278,0.9842690200877219,615
5_6C_19PER_4_6C_NEWSTRUCTURE,737390,-0.9958309619182911,-0.5285476309695465,0.9823810264394551,595
5_6C_19PER_4_6C_NEWSTRUCTURE,739476,-0.9985590787203867,-0.020158847335627613,0.7040266249327962,847
5_6C_19PER_4_6C_NEWSTRUCTURE,739477,-0.9992753103426553,0.0616748806053211,0.631957935816045,892
5_6C_25PER_4_5C,460528,-0.9411011326092014,0.9513186093228666,0.8865603386857409,360
5_6C_26PER_4_5C,737289,-0.9161951354267628,0.8543263015855963,0.9725597741844467,294
5_6C_26PER_4_5C,737295,-0.9352604671330379,0.7772379479457072,0.9773434528272648,313
5_6C_26PER_4_5C,737327,-0.7691607944736282,0.7159220753572486,0.9077704983444943,246
5_6C_26PER_4_5C,737363,-0.9195807060845582,0.2418534469837019,0.991218410560291,229
5_6C_26PER_4_5C,737370,-0.8732609409112313,0.7329501576746907,0.9841600433783765,276
5_6C_26PER_4_5C_NEWSTRUCTURE,737335,-0.9994193574404088,0.12135000300592258,0.33540893631410357,1052
5_6C_26PER_4_5C_NEWSTRUCTURE,739480,-0.8074112496543393,0.13943167277773927,0.7462483815818832,619
5_6C_36PER_4_3C_NEWSTRUCTURE,737213,-0.998286105532279,-0.5065170892696951,0.9297275518771343,627
5_6C_36PER_4_3C_NEWSTRUCTURE,737251,-0.9964138889592786,0.0963193921131894,0.8443579207985987,649
5_6C_36PER_4_3C_NEWSTRUCTURE,737275,-0.9997930422566789,0.8778325011291858,0.9052337604581521,954
5_6C_36PER_4_3C_NEWSTRUCTURE,737280,-0.9991872959657482,0.6884258909722842,0.7384616611675581,914
5_6C_36PER_4_3C_NEWSTRUCTURE,737314,-0.9974602651865064,-0.4501314469972611,0.5060373691724143,731
5_6C_36PER_4_3C_NEWSTRUCTURE,737365,-0.9991454256655158,0.4876793665728695,0.9188596059467871,722
5_6C_36PER_4_3C_NEWSTRUCTURE,737387,-0.9933638532268032,-0.9238725618953633,0.5785525056607937,657
5_6C_36PER_4_3C_NEWSTRUCTURE,739495,-0.9878344784173297,-0.2603637701491593,0.712080976202721,585
5_6C_38PER_4_25C,460511,-0.8319357340693719,0.9747155542054908,0.6101465815323694,302
5_6C_47PER_4C,460649,-0.9113677114765023,0.37756795195455856,0.8386882426516573,287
5_6C_58PER_3_5C,460627,-0.8447645348197671,0.8545093107536249,0.6111183998338171,280
5_6C_5PER_4_75C,460526,-0.9764382175643987,0.06434670730705645,0.98344086973,330
5_6C_65PER_3C,460513,-0.8864446011258345,-0.036869663026669885,0.9036026044513833,252
5_9C_15PER_4_6C_NEWSTRUCTURE,737320,-0.9949916805519837,-0.8539221207759227,0.9655468467288245,657
5_9C_15PER_4_6C_NEWSTRUCTURE,737386,-0.9981639831674071,-0.3888333145816788,0.9614204695099468,675
5_9C_60PER_3_1C_NEWSTRUCTURE,737279,-0.9949656517245472,0.8160575707374895,0.8231180790355924,530
5_9C_60PER_3_1C_NEWSTRUCTURE,737285,-0.9989981681855434,0.789752150402927,0.6964142312757432,801
6C-30PER_3_6C,460433,-0.9967352139567097,0.4951189178121796,0.3214998143585243,689
6C-30PER_3_6C,460477,-0.9982023765092773,0.6002501816076452,0.5062287138778486,811
6C-40PER_3C,460617,-0.9959887129915427,0.5740841674617464,0.7332823806872701,652
6C-40PER_3C,460630,-0.9969064634244154,0.7325310539042044,0.6974206572636742,815
6C-40PER_3_6C,460659,-0.9973516537562929,0.6551318739277014,0.6030243786299434,668
6C-40PER_3_6C,463198,-0.9971753851901967,0.6796080434766687,0.641539820043506,640
6C-50PER_3C,460507,-0.9977951357734648,0.6091845160512568,0.626172904123784,658
6C-50PER_3C,460644,-0.9979057091446181,0.635146483486937,0.6194425686045798,715
6C-50PER_3_6C,460481,-0.9988513082197854,0.6309525250079979,0.651213374034702,674
6C-50PER_3_6C,460615,-0.9962490139812495,0.4101862769995391,0.6438166684130922,507
6C-60PER_3C,460436,-0.9976449009589284,-0.009519265426128002,0.7405111991975353,555
6C-60PER_3C,460640,-0.9967979812390769,0.1393980195002059,0.6801902194178472,529
6C_20PER_4_5C,460473,-0.9301211288392289,0.6811485336061593,0.8735683097535923,292
6C_31PER_4_25C,460498,-0.9294289029424894,0.40296096255396374,0.9032938606109338,287
6C_40PER_4C,460474,-0.8729471994781024,0.8530729914002262,0.6737196012376078,278
6C_4PER_4_75C,460613,-0.9721555368855994,0.2982561543532022,0.9668220019942614,314
6C_52PER_3_5C,460678,-0.7732188107267781,0.9724216760287077,0.47533618344345124,249
6C_60PER_3C,460599,-0.9942076407133073,0.20376125696832453,0.9888493117783458,545
6C_60PER_3C,737281,-0.48603444195734585,0.8986982792759418,0.8984772805661655,211
6C_60PER_3C,737302,-0.46865437344872846,0.8807521474146557,0.978589528673346,226
7C-30PER_3_6C,460525,-0.9927260646894093,-0.06988905235538455,0.693900413467353,540
7C-30PER_3_6C,460622,-0.9888304983658182,0.16417844788510627,0.628199918887325,501
7C-40PER_3C,460506,-0.9942395866943531,0.39953247568528755,0.6724010731991381,502
7C-40PER_3C,460601,-0.9928696807672462,0.32553821972992725,0.5765038788341551,446
7C-40PER_3_6C,453773,-0.9921674987716368,0.5700307920645794,0.2794949026876738,415
7C-40PER_3_6C,460642,-0.9894290853074227,0.5537367381974794,0.38672063028799414,423
80PER_3_6C,460486,-0.996301887053529,0.025932550779843633,-0.030274958552923514,778
80PER_3_6C,460514,-0.9990755114779283,0.559449575665973,-0.16028223579793288,459
80PER_3_6C,460623,-0.9982739114285388,0.4279169641141964,-0.034300787381518906,857
80PER_4C,464865,-0.9948746254428589,0.3290986870919988,0.7236356884305651,282
8C-15PER_3_6C,460647,-0.9982371667742278,0.7385035215019409,0.6168867140162285,849
8C-15PER_3_6C,463229,-0.9982065883929263,0.7655055294465539,0.6226554105445019,763
8C-25PER_3_6C,460618,-0.9914349655343017,0.49219032076128305,0.6334918459673838,500
8C-25PER_3_6C,460636,-0.9975303584685544,0.29775957153462723,0.5291321985364301,449
8C-35PER_3_6C,460485,-0.9978993771865818,0.34732068604981037,0.36933255709436336,414
8C-35PER_3_6C,460656,-0.9923828646506561,0.5959583813272914,0.2858976586619841,397
